loan_percent_income,loan_grade,person_income,person_home_ownership,loan_int_rate,loan_status
0.28,D,12996,OWN,14.59,1
0.37,B,12996,OWN,,1
0.59,E,42360,RENT,16.35,1
0.51,B,49000,RENT,10.99,1
0.11,F,225000,MORTGAGE,18.67,0
0.01,A,225000,RENT,9.32,0
0.03,A,225000,RENT,8.63,0
0.11,B,225000,MORTGAGE,10.08,0
0.51,B,49464,RENT,11.83,1
0.5,A,50000,RENT,7.9,1
0.5,A,50000,RENT,5.99,1
0.57,D,44000,RENT,15.33,1
0.5,B,50000,RENT,11.83,1
0.5,B,50004,RENT,10.36,1
0.5,C,50004,RENT,12.23,1
0.48,B,52000,RENT,11.11,1
0.38,A,13200,OWN,7.9,1
0.11,B,220000,MORTGAGE,11.58,0
0.1,A,216000,MORTGAGE,8.9,0
0.12,D,216000,MORTGAGE,16.07,0
0.09,C,216000,MORTGAGE,14.22,0
0.16,C,215000,MORTGAGE,14.79,0
0.06,A,215000,MORTGAGE,7.88,0
0.48,C,52000,RENT,13.22,1
0.54,D,46000,RENT,11.86,1
0.47,C,53000,RENT,13.43,1
0.53,D,47000,RENT,15.28,1
0.53,E,47000,RENT,17.93,1
0.11,B,13200,MORTGAGE,9.25,0
0.34,C,13200,OWN,12.98,1
0.08,B,210000,MORTGAGE,10.62,0
0.1,B,210000,OWN,11.83,0
0.52,F,48000,RENT,18.43,1
0.45,B,54996,RENT,,1
0.45,D,55000,RENT,,1
0.45,B,55000,RENT,11.36,1
0.45,D,55000,RENT,15.65,1
0.45,C,55164,RENT,13.22,1
0.45,C,56000,RENT,12.87,1
0.1,C,203500,OWN,13.04,0
0.12,F,190000,MORTGAGE,17.58,1
0.56,E,13920,OWN,17.04,1
0.42,B,60000,RENT,10.99,1
0.42,B,60000,RENT,11.11,1
0.46,D,54000,RENT,14.83,1
0.29,D,14000,OWN,,1
0.06,B,200000,RENT,12.69,0
0.06,C,200000,MORTGAGE,13.49,0
0.08,C,200000,MORTGAGE,14.65,0
0.46,E,54000,RENT,16.82,1
0.42,C,60000,RENT,12.73,1
0.42,B,60000,RENT,10.25,1
0.42,B,60000,RENT,10.99,1
0.4,C,61959,RENT,12.73,1
0.44,D,56400,RENT,14.96,1
0.14,A,200000,MORTGAGE,,0
0.13,C,200000,MORTGAGE,13.99,0
0.12,A,200000,MORTGAGE,7.49,0
0.07,C,200000,MORTGAGE,14.79,0
0.08,B,200000,MORTGAGE,11.99,0
0.05,A,200000,RENT,8.49,0
0.38,B,66000,RENT,9.91,1
0.38,C,66000,RENT,13.06,1
0.04,A,200000,MORTGAGE,6.17,0
0.03,B,200000,MORTGAGE,11.86,0
0.09,D,200000,RENT,16.32,0
0.06,B,200000,MORTGAGE,10.38,0
0.12,C,200000,MORTGAGE,14.35,0
0.1,B,200000,MORTGAGE,,0
0.42,E,60000,RENT,,1
0.21,B,14400,OWN,,1
0.37,D,66996,RENT,15.21,1
0.37,A,67000,RENT,7.9,1
0.37,B,67000,RENT,10.99,1
0.37,D,68000,RENT,14.09,1
0.36,D,69000,RENT,17.49,1
0.06,B,200000,MORTGAGE,11.48,0
0.11,E,188000,MORTGAGE,17.74,1
0.01,C,200000,MORTGAGE,13.92,0
0.36,D,69996,RENT,15.21,1
0.28,B,14400,OWN,10.99,1
0.36,B,70000,RENT,11.86,1
0.42,A,14400,OWN,7.49,1
0.38,D,56100,RENT,16.49,1
0.38,D,66000,RENT,15.33,1
0.38,B,66000,RENT,11.58,1
0.37,A,14400,OWN,5.79,1
0.34,C,72612,RENT,13.11,1
0.34,B,74000,RENT,10.36,1
0.33,B,75000,RENT,10.36,1
0.11,C,192000,RENT,,0
0.1,A,192000,MORTGAGE,6.54,0
0.05,B,191000,MORTGAGE,12.53,0
0.08,A,190300,MORTGAGE,,0
0.05,C,190000,MORTGAGE,,0
0.33,B,75000,RENT,10.25,1
0.35,D,71000,RENT,15.95,1
0.11,B,190000,MORTGAGE,12.18,0
0.13,B,189996,OWN,11.83,0
0.32,C,78000,RENT,,1
0.32,B,78000,RENT,10.62,1
0.32,B,78504,RENT,10.74,1
0.05,B,186000,OWN,10.25,0
0.19,B,185000,MORTGAGE,12.42,0
0.08,C,185000,RENT,15.27,0
0.34,D,62050,RENT,15.33,1
0.31,D,79416,RENT,15.21,1
0.43,C,14400,OWN,14.72,1
0.31,D,79631,RENT,15.7,1
0.31,C,79632,RENT,13.35,1
0.1,C,14400,MORTGAGE,,0
0.31,A,80000,RENT,6.62,1
0.31,C,80000,RENT,13.61,1
0.14,B,185000,RENT,11.36,0
0.03,A,185000,OWN,7.68,0
0.12,D,184992,RENT,14.46,0
0.01,B,184000,OWN,11.83,0
0.12,C,172000,MORTGAGE,13.47,1
0.11,B,183000,MORTGAGE,11.49,0
0.01,A,183000,MORTGAGE,,0
0.08,A,182952,MORTGAGE,6.03,0
0.34,E,74004,RENT,16.35,1
0.34,D,74004,RENT,,1
0.31,A,81000,RENT,7.29,1
0.31,B,81600,RENT,11.36,1
0.3,B,82000,RENT,10.25,0
0.3,B,83000,RENT,11.12,0
0.3,D,83000,RENT,12.92,0
0.1,E,180000,RENT,18.64,0
0.16,A,180000,MORTGAGE,7.51,0
0.28,E,14400,OWN,16.7,1
0.15,B,14400,OWN,11.14,0
0.3,F,84500,RENT,18.3,0
0.29,B,85000,RENT,10.62,0
0.08,B,180000,MORTGAGE,11.99,0
0.07,B,180000,MORTGAGE,9.63,0
0.06,F,142800,MORTGAGE,18.25,1
0.41,C,14664,MORTGAGE,,1
0.29,D,87000,RENT,14.84,0
0.33,E,75000,RENT,14.7,1
0.33,D,76000,RENT,16.02,1
0.32,D,66215,RENT,15.37,1
0.28,B,90000,RENT,10.99,0
0.41,A,15000,OWN,7.9,1
0.14,B,180000,OWN,10.99,0
0.12,B,180000,OWN,11.48,0
0.11,C,180000,OWN,14.26,0
0.06,A,180000,OWN,8.0,0
0.06,B,180000,MORTGAGE,11.26,0
0.3,B,15000,OWN,,1
0.32,D,78000,RENT,16.32,1
0.32,E,66300,RENT,17.93,1
0.28,B,90000,RENT,11.36,0
0.32,D,79000,RENT,14.96,1
0.27,C,91800,RENT,13.43,0
0.27,B,92000,RENT,12.69,0
0.27,C,92000,RENT,12.73,0
0.27,D,93600,RENT,15.21,0
0.12,C,15000,MORTGAGE,12.68,0
0.3,F,70550,RENT,19.04,1
0.3,D,83800,RENT,15.95,1
0.01,A,175000,MORTGAGE,8.9,0
0.05,A,175000,MORTGAGE,7.9,0
0.1,B,175000,MORTGAGE,,0
0.12,B,175000,MORTGAGE,11.99,0
0.27,C,15000,OWN,13.98,1
0.31,B,15000,OWN,10.99,1
0.28,D,88000,RENT,15.58,1
0.28,B,74800,RENT,10.99,1
0.28,D,88000,RENT,14.96,1
0.12,D,15000,OWN,15.31,0
0.28,D,88000,RENT,15.65,1
0.25,B,100000,RENT,9.33,0
0.24,C,15000,MORTGAGE,13.47,1
0.24,B,102400,RENT,10.36,0
0.27,E,92000,RENT,16.77,1
0.27,D,93000,RENT,14.59,1
0.02,C,175000,RENT,11.91,0
0.04,A,175000,MORTGAGE,8.38,0
0.05,B,174708,RENT,10.59,0
0.05,C,174000,MORTGAGE,14.27,0
0.07,B,174000,RENT,12.53,0
0.15,E,162000,MORTGAGE,16.0,1
0.06,B,173467,MORTGAGE,11.71,0
0.21,C,15000,OWN,11.54,1
0.26,E,96000,RENT,15.68,1
0.1,B,15120,MORTGAGE,10.59,0
0.26,D,97908,RENT,12.61,1
0.23,C,110000,RENT,,0
0.18,A,15204,MORTGAGE,8.49,1
0.19,D,159600,RENT,17.27,1
0.1,A,171500,RENT,8.9,0
0.06,B,170004,MORTGAGE,11.11,0
0.16,D,158004,RENT,14.59,1
0.08,B,170000,RENT,12.42,0
0.26,D,83300,RENT,,1
0.23,D,110000,RENT,15.7,0
0.16,B,15360,OWN,12.53,1
0.03,D,134300,RENT,16.49,1
0.12,A,170000,MORTGAGE,7.49,0
0.25,D,100580,RENT,14.96,1
0.22,C,113000,RENT,12.73,0
0.21,B,120000,RENT,10.65,0
0.21,B,120000,RENT,10.74,0
0.21,B,120000,RENT,9.99,0
0.23,D,91800,RENT,15.33,1
0.06,A,15600,OWN,7.29,0
0.23,D,108000,RENT,15.05,1
0.19,B,129996,RENT,10.75,0
0.19,D,130000,RENT,16.02,0
0.19,B,130000,RENT,11.49,0
0.12,B,170000,OWN,12.53,0
0.07,C,170000,MORTGAGE,13.57,0
0.08,B,169000,RENT,11.14,0
0.14,C,168750,RENT,12.87,0
0.12,B,168600,RENT,11.58,0
0.01,B,168288,RENT,11.12,0
0.21,B,168000,MORTGAGE,10.65,0
0.19,B,133300,RENT,10.37,0
0.21,A,15600,OWN,6.39,1
0.19,D,134000,RENT,16.07,0
0.19,B,134000,RENT,10.62,0
0.21,F,15600,OWN,18.09,1
0.19,B,135000,RENT,11.36,0
0.18,B,135660,RENT,12.53,0
0.17,B,145000,RENT,9.99,0
0.17,B,150000,RENT,10.36,0
0.06,A,165000,MORTGAGE,5.99,0
0.16,D,153000,MORTGAGE,15.62,1
0.12,B,165000,MORTGAGE,10.37,0
0.15,F,165000,MORTGAGE,19.74,0
0.12,A,165000,MORTGAGE,6.91,0
0.38,A,16000,OWN,7.9,1
0.14,C,16000,MORTGAGE,13.06,0
0.13,A,16000,OWN,6.39,0
0.17,E,148000,RENT,14.93,1
0.35,C,16000,MORTGAGE,12.84,1
0.23,E,16020,OWN,17.14,1
0.34,A,16094,MORTGAGE,7.14,1
0.14,A,175000,RENT,8.9,0
0.12,B,16200,OWN,12.42,0
0.14,C,185000,RENT,12.68,0
0.15,C,162000,RENT,11.03,0
0.19,A,161000,RENT,7.9,0
0.22,B,160000,MORTGAGE,10.65,0
0.11,B,225000,RENT,11.86,0
0.3,A,16400,OWN,8.94,1
0.27,B,16500,OWN,9.63,1
0.5,C,49500,RENT,14.22,1
0.41,B,60000,RENT,9.33,1
0.29,C,84200,RENT,13.85,0
0.12,B,16800,MORTGAGE,10.65,0
0.27,B,92000,RENT,11.46,0
0.22,A,160000,MORTGAGE,7.66,0
0.07,E,160000,MORTGAGE,16.77,0
0.07,B,160000,MORTGAGE,9.63,0
0.16,C,160000,RENT,12.23,0
0.07,D,125800,MORTGAGE,14.09,1
0.45,C,54000,RENT,13.98,1
0.39,B,62500,RENT,10.62,1
0.23,A,16800,MORTGAGE,,1
0.35,E,68400,RENT,17.56,1
0.37,D,56045,RENT,14.96,1
0.33,D,74000,RENT,15.65,1
0.31,D,65453,RENT,15.7,1
0.27,B,89908,RENT,12.53,0
0.31,E,78000,RENT,17.56,1
0.24,C,100000,RENT,12.87,0
0.24,D,103000,RENT,15.7,0
0.06,A,160000,MORTGAGE,,0
0.09,B,160000,OWN,11.14,0
0.13,D,160000,MORTGAGE,16.0,0
0.16,D,160000,MORTGAGE,15.65,0
0.09,C,160000,MORTGAGE,,0
0.1,D,160000,MORTGAGE,15.31,0
0.13,C,160000,MORTGAGE,13.47,0
0.28,C,16800,MORTGAGE,13.85,1
0.22,D,111996,RENT,,0
0.36,B,16800,MORTGAGE,10.39,1
0.21,B,115200,RENT,11.36,0
0.17,B,144000,RENT,11.83,0
0.08,B,287000,RENT,12.53,0
0.22,D,108000,RENT,14.96,1
0.56,C,43000,RENT,13.85,1
0.51,B,47004,RENT,11.58,1
0.5,D,48000,RENT,16.29,1
0.5,A,48000,RENT,,1
0.53,D,44964,RENT,16.29,1
0.46,B,52000,RENT,10.74,1
0.13,C,17352,MORTGAGE,15.27,0
0.51,F,47000,RENT,17.8,1
0.06,B,17400,MORTGAGE,11.36,0
0.49,E,49000,RENT,17.56,1
0.4,A,60000,RENT,7.9,1
0.4,B,60000,RENT,10.99,1
0.4,A,60000,RENT,7.29,1
0.4,B,60000,RENT,10.75,1
0.39,A,62004,RENT,7.9,1
0.38,D,62400,RENT,14.84,1
0.37,A,65000,RENT,,1
0.28,C,17760,MORTGAGE,,1
0.41,E,59000,RENT,19.69,1
0.36,A,66000,RENT,,1
0.4,D,60000,RENT,14.96,1
0.36,A,66143,RENT,6.99,1
0.39,E,62250,RENT,16.45,1
0.34,B,70000,RENT,10.99,1
0.32,B,74000,RENT,10.99,1
0.17,A,18000,OWN,7.9,1
0.32,B,75000,RENT,12.69,1
0.32,B,75000,RENT,10.37,1
0.32,C,75000,RENT,,1
0.35,F,69000,RENT,15.83,1
0.31,C,78000,RENT,13.92,1
0.11,B,18000,OWN,11.49,0
0.3,B,80000,RENT,10.25,0
0.19,A,18000,OWN,7.49,1
0.22,A,18000,OWN,5.99,1
0.32,D,74700,RENT,12.92,1
0.27,B,88596,RENT,11.58,0
0.25,A,95000,RENT,8.9,0
0.29,E,83000,RENT,19.69,1
0.25,A,95000,RENT,6.54,0
0.27,D,18000,OWN,14.54,1
0.28,B,18000,OWN,11.11,1
0.24,C,100000,RENT,12.73,0
0.22,D,110000,RENT,15.62,0
0.35,A,18000,OWN,6.54,1
0.24,F,98000,RENT,,1
0.23,G,103872,RENT,20.03,1
0.2,B,120000,RENT,9.91,0
0.2,B,120000,RENT,12.69,0
0.22,G,108000,RENT,20.16,1
0.19,D,124080,RENT,16.49,0
0.14,D,18000,MORTGAGE,15.95,1
0.18,B,130000,RENT,11.49,0
0.18,B,135000,RENT,10.99,0
0.18,C,135000,RENT,13.79,0
0.18,G,114750,RENT,20.03,1
0.16,A,150000,RENT,7.49,0
0.17,D,138000,RENT,16.0,1
0.72,A,18000,OWN,7.88,1
0.35,B,18000,OWN,10.62,1
0.15,B,155000,RENT,10.99,0
0.16,F,148000,RENT,18.3,1
0.14,C,170000,RENT,,0
0.14,B,18000,OWN,11.36,0
0.55,B,43896,RENT,,1
0.2,C,120000,RENT,13.47,0
0.43,B,54996,RENT,11.89,1
0.56,B,18000,MORTGAGE,12.18,1
0.23,C,102000,RENT,13.49,0
0.31,E,75000,RENT,14.5,1
0.22,C,18000,OWN,,1
0.3,D,18000,OWN,15.31,1
0.22,B,18000,MORTGAGE,,1
0.19,B,18000,OWN,,1
0.35,A,66960,RENT,7.49,1
0.53,C,43385,RENT,,1
0.41,B,56544,RENT,,1
0.38,B,60000,RENT,12.18,1
0.07,C,18000,MORTGAGE,11.34,0
0.36,B,63208,RENT,9.91,1
0.35,B,65000,RENT,11.99,1
0.34,B,68000,RENT,9.62,1
0.17,B,18000,OWN,9.96,1
0.29,C,80000,RENT,,0
0.26,D,88000,RENT,14.54,1
0.39,B,58600,RENT,11.36,1
0.32,C,70000,RENT,14.27,1
0.16,B,18287,OWN,11.99,1
0.32,F,69846,RENT,18.99,1
0.31,E,73000,RENT,16.7,1
0.27,A,18500,MORTGAGE,9.32,1
0.64,B,35000,RENT,12.69,1
0.51,C,43000,RENT,13.11,1
0.42,B,52000,RENT,10.74,1
0.22,D,18701,MORTGAGE,14.11,1
0.39,B,57000,RENT,9.63,1
0.38,C,58000,RENT,14.65,1
0.37,B,60000,RENT,10.25,1
0.37,C,60000,RENT,14.26,1
0.16,B,18840,MORTGAGE,9.91,1
0.39,E,56000,RENT,17.19,1
0.31,B,70000,RENT,11.36,1
0.33,F,66000,RENT,,1
0.3,B,74064,RENT,10.59,0
0.29,B,76597,RENT,9.25,0
0.19,A,19000,OWN,8.49,1
0.29,A,77000,RENT,6.54,0
0.32,A,19000,OWN,8.49,1
0.28,A,80000,RENT,,0
0.27,B,82600,RENT,12.69,0
0.39,C,19000,OWN,13.85,1
0.21,A,19000,OWN,7.4,1
0.26,B,84000,RENT,11.71,0
0.28,B,77650,RENT,11.48,1
0.27,E,82000,RENT,17.51,1
0.18,D,19012,MORTGAGE,14.61,1
0.22,A,99996,RENT,7.88,0
0.2,B,110000,RENT,,0
0.26,B,19200,MORTGAGE,11.71,1
0.38,B,57000,RENT,11.99,1
0.4,C,54000,RENT,13.49,1
0.39,G,56000,RENT,21.21,1
0.34,C,63000,RENT,14.35,1
0.26,C,82000,RENT,13.61,0
0.28,B,78000,RENT,11.26,1
0.13,B,19200,OWN,10.59,0
0.19,A,112140,RENT,7.9,0
0.36,A,19200,MORTGAGE,5.99,1
0.16,B,19200,OWN,11.99,1
0.36,D,59000,RENT,16.89,1
0.31,B,70000,RENT,9.99,1
0.19,D,116000,RENT,15.33,0
0.36,A,60000,RENT,7.29,1
0.69,B,31000,RENT,12.42,1
0.45,B,47052,RENT,10.99,1
0.42,A,51060,RENT,6.91,1
0.26,C,19200,MORTGAGE,14.17,1
0.4,B,53000,RENT,10.25,1
0.48,B,19200,OWN,,1
0.38,D,56000,RENT,15.95,1
0.33,D,65000,RENT,15.95,1
0.6,B,35000,RENT,12.53,1
0.07,D,19200,MORTGAGE,14.91,1
0.16,A,19200,MORTGAGE,,1
0.53,A,40000,RENT,6.54,1
0.05,B,19200,OWN,,0
0.5,F,42000,RENT,17.26,1
0.33,B,63000,RENT,11.36,1
0.21,A,19200,MORTGAGE,7.51,1
0.36,B,59000,RENT,10.71,1
0.3,C,70500,RENT,13.98,0
0.32,D,65219,RENT,14.09,1
0.28,B,75000,RENT,10.0,0
0.26,D,19200,MORTGAGE,15.33,1
0.29,E,62047,RENT,16.32,1
0.27,A,79000,RENT,7.9,0
0.26,B,80000,RENT,11.99,0
0.25,B,84000,RENT,10.75,0
0.25,C,85000,RENT,13.92,0
0.23,B,93000,RENT,9.91,0
0.26,E,81000,RENT,16.95,1
0.22,A,97000,RENT,7.9,0
0.22,C,97000,RENT,,0
0.21,D,100000,RENT,16.49,1
0.39,C,19200,OTHER,11.97,1
0.32,A,19253,MORTGAGE,6.17,1
0.17,A,125000,RENT,8.9,0
0.17,C,125000,RENT,12.99,0
0.25,B,82000,RENT,12.69,0
0.77,B,19500,MORTGAGE,9.64,1
0.41,A,50000,RENT,7.49,1
0.29,C,70000,RENT,13.16,0
0.11,A,19800,OWN,8.38,0
0.25,B,80004,RENT,10.25,0
0.38,A,54000,RENT,7.49,1
0.77,B,26000,RENT,9.76,1
0.61,B,33000,RENT,10.99,1
0.25,B,20000,OWN,11.71,0
0.46,B,20000,OWN,10.65,0
0.57,B,35364,RENT,12.53,1
0.53,D,38000,RENT,14.59,1
0.63,D,32000,RENT,12.61,1
0.53,C,38004,RENT,13.11,1
0.32,B,20000,MORTGAGE,10.65,0
0.52,C,38556,RENT,11.22,1
0.61,D,32900,RENT,16.0,1
0.59,B,34000,RENT,8.88,1
0.5,B,40000,RENT,12.53,1
0.56,D,36000,RENT,,1
0.24,A,20000,MORTGAGE,5.99,0
0.48,C,42000,RENT,13.47,1
0.47,A,42224,RENT,6.99,1
0.28,D,20000,OWN,15.99,0
0.18,C,20000,MORTGAGE,,0
0.54,E,37212,RENT,16.69,1
0.53,B,38000,RENT,11.11,1
0.44,A,45000,RENT,7.9,1
0.44,B,45000,RENT,10.25,1
0.44,E,45000,RENT,,1
0.06,A,20000,OWN,7.49,0
0.44,C,45000,RENT,13.92,1
0.51,D,39000,RENT,14.74,1
0.43,B,46500,RENT,10.62,1
0.42,B,48000,RENT,10.65,1
0.48,D,42000,RENT,12.99,1
0.41,B,48500,RENT,11.36,1
0.38,A,20000,OWN,5.79,0
0.4,A,49400,RENT,6.54,1
0.2,A,20000,MORTGAGE,5.79,0
0.4,A,50000,RENT,7.49,1
0.4,C,50000,RENT,13.43,1
0.4,C,50000,RENT,13.22,1
0.25,C,20000,OWN,14.72,0
0.45,E,44000,RENT,15.68,1
0.39,B,50866,RENT,,1
0.39,B,50950,RENT,11.48,1
0.39,B,51000,RENT,10.38,1
0.39,B,51000,RENT,12.53,1
0.39,C,51000,RENT,13.47,1
0.39,B,51500,RENT,12.21,1
0.38,B,51996,RENT,10.99,1
0.38,B,52000,RENT,11.36,1
0.43,D,46000,RENT,16.0,1
0.07,A,20000,MORTGAGE,7.74,0
0.38,D,52000,RENT,15.65,1
0.43,C,46000,RENT,11.78,1
0.38,B,52559,RENT,,1
0.43,D,47000,RENT,16.77,1
0.37,B,54000,RENT,9.91,1
0.42,D,48000,RENT,15.65,1
0.42,D,48000,RENT,14.96,1
0.37,B,54000,RENT,11.83,1
0.41,C,48912,RENT,11.66,1
0.36,B,54996,RENT,12.18,1
0.36,A,55000,RENT,6.91,1
0.36,A,55000,RENT,6.91,1
0.41,F,49000,RENT,19.79,1
0.36,B,55000,RENT,9.88,1
0.83,B,20000,MORTGAGE,9.76,0
0.36,B,55000,RENT,12.53,1
0.36,B,55200,RENT,,1
0.36,A,20004,MORTGAGE,6.99,0
0.35,D,57000,RENT,16.89,1
0.39,D,51012,RENT,17.49,1
0.12,E,20004,MORTGAGE,16.82,0
0.18,B,20004,MORTGAGE,,0
0.34,C,58000,RENT,13.11,1
0.34,A,58800,RENT,7.66,1
0.34,A,59000,RENT,6.17,1
0.38,E,53000,RENT,16.35,1
0.33,A,60000,RENT,7.9,1
0.37,D,54000,RENT,16.49,1
0.18,A,20245,OWN,,0
0.35,A,20280,MORTGAGE,8.0,0
0.33,B,60000,RENT,10.99,1
0.38,A,20352,OWN,6.91,0
0.37,B,54000,RENT,8.88,1
0.33,A,60000,RENT,,1
0.37,D,54000,RENT,14.84,1
0.37,B,54000,RENT,11.12,1
0.33,A,60000,RENT,7.88,1
0.33,B,60000,RENT,,1
0.29,D,20400,MORTGAGE,15.99,0
0.27,B,20400,MORTGAGE,10.99,0
0.33,B,60000,RENT,,1
0.37,D,54000,RENT,15.65,1
0.37,E,54000,RENT,17.04,1
0.33,B,60000,RENT,12.21,1
0.06,C,20400,OWN,15.23,0
0.37,D,54000,RENT,14.11,1
0.33,B,60000,RENT,11.14,1
0.12,B,20400,OWN,11.49,0
0.33,D,60000,RENT,13.87,1
0.33,B,60000,RENT,10.08,1
0.37,E,54504,RENT,16.7,1
0.36,E,55000,RENT,18.64,1
0.33,B,61000,RENT,12.18,1
0.19,D,20400,OWN,,0
0.32,A,62000,RENT,6.54,1
0.36,D,56000,RENT,14.61,1
0.36,E,56000,RENT,17.39,1
0.32,B,62400,RENT,11.12,1
0.32,B,62400,RENT,11.48,1
0.32,B,63000,RENT,12.42,1
0.34,B,58000,RENT,10.25,1
0.31,B,65000,RENT,10.65,1
0.24,D,20800,OWN,16.29,0
0.31,B,65000,RENT,10.37,1
0.31,B,65000,RENT,11.49,1
0.48,B,20856,OWN,10.59,0
0.26,C,20868,OWN,13.49,0
0.34,C,59000,RENT,,1
0.34,C,59000,RENT,12.29,1
0.17,D,21000,MORTGAGE,17.27,1
0.31,B,65004,RENT,11.99,1
0.34,D,59004,RENT,14.84,1
0.34,B,59004,RENT,10.83,1
0.31,C,65500,RENT,13.22,1
0.3,B,66996,RENT,12.18,0
0.3,B,67000,RENT,11.11,0
0.3,C,67000,RENT,13.48,0
0.29,B,68000,RENT,10.75,0
0.29,C,68000,RENT,12.53,0
0.32,D,62400,RENT,14.84,1
0.29,E,69500,RENT,17.74,0
0.29,B,70000,RENT,9.99,0
0.29,A,70000,RENT,6.91,0
0.31,E,64000,RENT,,1
0.28,D,71004,RENT,14.09,0
0.14,B,21000,MORTGAGE,11.49,0
0.28,D,71004,RENT,14.09,0
0.31,D,55392,RENT,15.2,1
